,location,node_vsn,sensor_path,timestamp,uom,value
0,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,metsense.tsys01.temperature,2019-04-07T20:30:45,C,214.75
1,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,metsense.tsl250rd.intensity,2019-04-07T20:30:45,uW/cm^2,10.474
2,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,metsense.tmp112.temperature,2019-04-07T20:30:45,C,-254.0
3,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,metsense.spv1840lr5h_b.intensity,2019-04-07T20:30:45,dB,62.74
4,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,metsense.pr103j2.temperature,2019-04-07T20:30:45,C,30.5
5,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,metsense.mma8452q.acceleration_z,2019-04-07T20:30:45,mg,-0.977
6,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,metsense.mma8452q.acceleration_y,2019-04-07T20:30:45,mg,-0.977
7,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,metsense.mma8452q.acceleration_x,2019-04-07T20:30:45,mg,-0.977
8,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,metsense.htu21d.temperature,2019-04-07T20:30:45,C,128.86
9,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,metsense.htu21d.humidity,2019-04-07T20:30:45,RH,118.99
10,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,metsense.hih4030.humidity,2019-04-07T20:30:45,RH,72.86
11,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,metsense.bmp180.temperature,2019-04-07T20:30:45,C,241.0
12,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,metsense.bmp180.pressure,2019-04-07T20:30:45,hPa,2361.56
13,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,lightsense.tsl260rd.intensity,2019-04-07T20:30:45,uW/cm^2,176.441
14,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,lightsense.tsl250rd.intensity,2019-04-07T20:30:45,uW/cm^2,159.907
15,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,lightsense.tmp421.temperature,2019-04-07T20:30:45,C,-0.06
16,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,lightsense.mlx75305.intensity,2019-04-07T20:30:45,uW/cm^2,1449.643
17,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,lightsense.ml8511.intensity,2019-04-07T20:30:45,uW/cm^2,1135.624
18,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,lightsense.hmc5883l.magnetic_field_z,2019-04-07T20:30:45,mG,-1.02
19,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,lightsense.hmc5883l.magnetic_field_y,2019-04-07T20:30:45,mG,-0.909
20,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,lightsense.hmc5883l.magnetic_field_x,2019-04-07T20:30:45,mG,-0.909
21,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,lightsense.hih6130.temperature,2019-04-07T20:30:45,C,125.01
22,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,lightsense.hih6130.humidity,2019-04-07T20:30:45,RH,100.0
23,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.726064, 41.895355]}}",05D,lightsense.apds_9006_020.intensity,2019-04-07T20:30:45,lux,5267.409
24,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,metsense.tsys01.temperature,2019-04-07T20:30:44,C,20.02
25,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,metsense.tsl250rd.intensity,2019-04-07T20:30:44,uW/cm^2,22.71
26,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,metsense.tmp112.temperature,2019-04-07T20:30:44,C,19.56
27,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,metsense.spv1840lr5h_b.intensity,2019-04-07T20:30:44,dB,55.0
28,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,metsense.pr103j2.temperature,2019-04-07T20:30:44,C,19.3
29,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,metsense.mma8452q.acceleration_z,2019-04-07T20:30:44,mg,-11.719
30,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,metsense.mma8452q.acceleration_y,2019-04-07T20:30:44,mg,-961.914
31,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,metsense.mma8452q.acceleration_x,2019-04-07T20:30:44,mg,19.531
32,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,metsense.htu21d.temperature,2019-04-07T20:30:44,C,19.39
33,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,metsense.htu21d.humidity,2019-04-07T20:30:44,RH,72.98
34,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,metsense.hih4030.humidity,2019-04-07T20:30:44,RH,83.5
35,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,metsense.bmp180.temperature,2019-04-07T20:30:44,C,22.8
36,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,metsense.bmp180.pressure,2019-04-07T20:30:44,hPa,1029.51
37,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,lightsense.tsl260rd.intensity,2019-04-07T20:30:44,uW/cm^2,26.04
38,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,lightsense.tsl250rd.intensity,2019-04-07T20:30:44,uW/cm^2,52.104
39,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,lightsense.tmp421.temperature,2019-04-07T20:30:44,C,27.75
40,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,lightsense.mlx75305.intensity,2019-04-07T20:30:44,uW/cm^2,689.42
41,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,lightsense.ml8511.intensity,2019-04-07T20:30:44,uW/cm^2,45.844
42,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,lightsense.hmc5883l.magnetic_field_z,2019-04-07T20:30:44,mG,-704.082
43,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,lightsense.hmc5883l.magnetic_field_y,2019-04-07T20:30:44,mG,252.727
44,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,lightsense.hmc5883l.magnetic_field_x,2019-04-07T20:30:44,mG,21.818
45,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,lightsense.hih6130.temperature,2019-04-07T20:30:44,C,17.27
46,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,lightsense.hih6130.humidity,2019-04-07T20:30:44,RH,55.8
47,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.761072, 41.923996]}}",056,lightsense.apds_9006_020.intensity,2019-04-07T20:30:44,lux,5.787
48,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,metsense.tsys01.temperature,2019-04-07T20:30:43,C,22.04
49,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,metsense.tsl250rd.intensity,2019-04-07T20:30:43,uW/cm^2,0.0
50,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,metsense.tmp112.temperature,2019-04-07T20:30:43,C,21.69
51,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,metsense.spv1840lr5h_b.intensity,2019-04-07T20:30:43,dB,56.72
52,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,metsense.pr103j2.temperature,2019-04-07T20:30:43,C,23.1
53,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,metsense.mma8452q.acceleration_z,2019-04-07T20:30:43,mg,-197.266
54,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,metsense.mma8452q.acceleration_y,2019-04-07T20:30:43,mg,-952.148
55,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,metsense.mma8452q.acceleration_x,2019-04-07T20:30:43,mg,-91.797
56,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,metsense.htu21d.temperature,2019-04-07T20:30:43,C,21.57
57,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,metsense.htu21d.humidity,2019-04-07T20:30:43,RH,13.13
58,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,metsense.hih4030.humidity,2019-04-07T20:30:43,RH,41.41
59,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,metsense.bmp180.temperature,2019-04-07T20:30:43,C,57.2
60,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,metsense.bmp180.pressure,2019-04-07T20:30:43,hPa,1070.64
61,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,lightsense.tsl260rd.intensity,2019-04-07T20:30:43,uW/cm^2,1.331
62,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,lightsense.tsl250rd.intensity,2019-04-07T20:30:43,uW/cm^2,1.213
63,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,lightsense.tmp421.temperature,2019-04-07T20:30:43,C,30.31
64,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,lightsense.mlx75305.intensity,2019-04-07T20:30:43,uW/cm^2,-1.272
65,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,lightsense.ml8511.intensity,2019-04-07T20:30:43,uW/cm^2,41.959
66,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,lightsense.hmc5883l.magnetic_field_z,2019-04-07T20:30:43,mG,184.694
67,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,lightsense.hmc5883l.magnetic_field_y,2019-04-07T20:30:43,mG,26.364
68,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,lightsense.hmc5883l.magnetic_field_x,2019-04-07T20:30:43,mG,-162.727
69,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,lightsense.hih6130.temperature,2019-04-07T20:30:43,C,39.21
70,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,lightsense.hih6130.humidity,2019-04-07T20:30:43,RH,16.29
71,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,lightsense.apds_9006_020.intensity,2019-04-07T20:30:43,lux,1.447
72,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,chemsense.so2.concentration,2019-04-07T20:30:43,ppm,0.28885
73,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,chemsense.reducing_gases.concentration,2019-04-07T20:30:43,ppm,-0.08979
74,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,chemsense.oxidizing_gases.concentration,2019-04-07T20:30:43,ppm,-0.52695
75,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,chemsense.o3.concentration,2019-04-07T20:30:43,ppm,0.00118
76,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,chemsense.no2.concentration,2019-04-07T20:30:43,ppm,0.0
77,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,chemsense.lps25h.temperature,2019-04-07T20:30:43,C,23.56
78,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,chemsense.lps25h.pressure,2019-04-07T20:30:43,hPa,1011.1
79,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,chemsense.h2s.concentration,2019-04-07T20:30:43,ppm,-0.06527
80,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,chemsense.co.concentration,2019-04-07T20:30:43,ppm,-0.60495
81,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,chemsense.at3.temperature,2019-04-07T20:30:43,C,20.38
82,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,chemsense.at2.temperature,2019-04-07T20:30:43,C,19.88
83,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,chemsense.at1.temperature,2019-04-07T20:30:43,C,19.49
84,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,chemsense.at0.temperature,2019-04-07T20:30:43,C,19.19
85,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,alphasense.opc_n2.sampling_period,2019-04-07T20:30:43,,24.96316
86,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,alphasense.opc_n2.sample_flow_rate,2019-04-07T20:30:43,,2.90841
87,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,alphasense.opc_n2.pm2_5,2019-04-07T20:30:43,μg/m^3,0.0
88,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,alphasense.opc_n2.pm10,2019-04-07T20:30:43,μg/m^3,0.0
89,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [0.0, 0.0]}}",065,alphasense.opc_n2.pm1,2019-04-07T20:30:43,μg/m^3,0.0
90,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.682414, 41.913583]}}",04D,metsense.tsys01.temperature,2019-04-07T20:30:43,C,19.6
91,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.682414, 41.913583]}}",04D,metsense.tsl250rd.intensity,2019-04-07T20:30:43,uW/cm^2,30.112
92,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.682414, 41.913583]}}",04D,metsense.tmp112.temperature,2019-04-07T20:30:43,C,19.43
93,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.682414, 41.913583]}}",04D,metsense.pr103j2.temperature,2019-04-07T20:30:43,C,19.7
94,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.682414, 41.913583]}}",04D,metsense.hih4030.humidity,2019-04-07T20:30:43,RH,99.53
95,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.682414, 41.913583]}}",04D,metsense.bmp180.temperature,2019-04-07T20:30:43,C,19.69
96,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.682414, 41.913583]}}",04D,metsense.bmp180.pressure,2019-04-07T20:30:43,hPa,986.76
97,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.682414, 41.913583]}}",04D,lightsense.tsl260rd.intensity,2019-04-07T20:30:43,uW/cm^2,59.529
98,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.682414, 41.913583]}}",04D,lightsense.tsl250rd.intensity,2019-04-07T20:30:43,uW/cm^2,53.293
99,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.682414, 41.913583]}}",04D,lightsense.tmp421.temperature,2019-04-07T20:30:43,C,26.18
100,"{'type': 'Feature', 'geometry': {'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}, 'coordinates': [-87.682414, 41.913583]}}",04D,lightsense.mlx75305.intensity,2019-04-07T20:30:43,uW/cm^2,682.3
